videoname,paramQP,frameWidth,frameHeight,CU_width,CU_height,topLeft_x,topLeft_y,bottomRight_x,bottomRight_y,POC,qtdepth,mtdepth,splitType,cost,RDCost,target,variance,mean,gradientH,gradientV,ratioGrad,sum,quarter1Var,quarter1Mean,quarter1GradH,quarter1GradV,quarter1RatioGrad,quarter1Sum,quarter2Var,quarter2Mean,quarter2GradH,quarter2GradV,quarter2RatioGrad,quarter2Sum,quarter3Var,quarter3Mean,quarter3GradH,quarter3GradV,quarter3RatioGrad,quarter3Sum,quarter4Var,quarter4Mean,quarter4GradH,quarter4GradV,quarter4RatioGrad,quarter4Sum
BasketballPass,32,416,240,128,128,128,0,255,127,1,0,0,BI_HORZ,13464713,13464713,0,2800.2688540816307,523.394287109375,736.0,50528.0,0.014566181127295756,8575292.0,2913.545131444931,524.39501953125,33920.0,62016.0,0.5469556243550051,4295844.0,2684.9896459579472,522.3935546875,32352.0,50976.0,0.6346516007532956,4279448.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,128,128,128,0,255,127,3,0,0,BI_HORZ,16289225,16289225,0,2829.7001342773438,523.8046875,1312.0,50272.0,0.02609802673456397,8582016.0,2937.5667645931244,524.57080078125,33728.0,61312.0,0.5501043841336117,4297284.0,2720.6596448421483,523.03857421875,33120.0,51808.0,0.6392835083384806,4284732.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,37,416,240,128,128,128,0,255,127,3,0,0,BI_HORZ,11375417,11375417,0,2829.7001342773438,523.8046875,1312.0,50272.0,0.02609802673456397,8582016.0,2937.5667645931244,524.57080078125,33728.0,61312.0,0.5501043841336117,4297284.0,2720.6596448421483,523.03857421875,33120.0,51808.0,0.6392835083384806,4284732.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,128,128,256,0,383,127,3,0,0,BI_HORZ,36274728,36274728,0,12492.119386136534,457.739013671875,22688.0,9824.0,2.3094462540716614,7499596.0,11076.685695648192,466.697265625,13568.0,9184.0,1.4773519163763067,3823184.0,13747.052520513535,448.78076171875,9120.0,61344.0,0.1486697965571205,3676412.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,37,416,240,128,128,256,0,383,127,3,0,0,BI_HORZ,18693116,18693116,0,12492.119386136534,457.739013671875,22688.0,9824.0,2.3094462540716614,7499596.0,11076.685695648192,466.697265625,13568.0,9184.0,1.4773519163763067,3823184.0,13747.052520513535,448.78076171875,9120.0,61344.0,0.1486697965571205,3676412.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,37,416,240,128,128,0,0,127,127,1,0,0,BI_HORZ,13421263,13421263,0,20158.112923562527,466.912353515625,45216.0,47232.0,0.9573170731707316,7649892.0,18166.48519802093,510.4541015625,10944.0,47072.0,0.23249490142760024,4181640.0,18357.973003149036,423.37060546875,34272.0,18720.0,1.8307692307692307,3468252.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,37,416,240,128,128,128,0,255,127,2,0,0,BI_HORZ,14182416,14182416,0,2808.160329282284,523.871826171875,608.0,50368.0,0.01207115628970775,8583116.0,2924.173108816147,524.82958984375,33984.0,61280.0,0.5545691906005222,4299404.0,2690.3129272460933,522.9140625,32160.0,51296.0,0.6269494697442296,4283712.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,37,416,240,128,128,256,0,383,127,1,0,0,BI_HORZ,16205311,16205311,0,12646.608191490172,457.2236328125,20128.0,8288.0,2.4285714285714284,7491152.0,11127.62614417076,466.57861328125,13728.0,5952.0,2.306451612903226,3822212.0,13990.558919668198,447.86865234375,6400.0,59648.0,0.1072961373390558,3668940.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
