videoname,paramQP,frameWidth,frameHeight,CU_width,CU_height,topLeft_x,topLeft_y,bottomRight_x,bottomRight_y,POC,qtdepth,mtdepth,splitType,cost,RDCost,target,variance,mean,gradientH,gradientV,ratioGrad,sum,quarter1Var,quarter1Mean,quarter1GradH,quarter1GradV,quarter1RatioGrad,quarter1Sum,quarter2Var,quarter2Mean,quarter2GradH,quarter2GradV,quarter2RatioGrad,quarter2Sum,quarter3Var,quarter3Mean,quarter3GradH,quarter3GradV,quarter3RatioGrad,quarter3Sum,quarter4Var,quarter4Mean,quarter4GradH,quarter4GradV,quarter4RatioGrad,quarter4Sum
BasketballPass,32,416,240,128,128,128,0,255,127,1,0,0,BI_VERT,13464713,13464713,0,2800.2688540816307,523.394287109375,736.0,50528.0,0.014566181127295756,8575292.0,1216.2837159633634,546.09619140625,26496.0,39584.0,0.6693613581244947,4473620.0,3353.5010747909546,500.6923828125,3104.0,10944.0,0.2836257309941521,4101672.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,128,128,128,0,255,127,3,0,0,BI_VERT,16289225,16289225,0,2829.7001342773438,523.8046875,1312.0,50272.0,0.02609802673456397,8582016.0,1218.8719091415405,546.4873046875,26848.0,39712.0,0.6760676873489122,4476824.0,3411.526114463806,501.1220703125,4864.0,10560.0,0.4606060606060606,4105192.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,37,416,240,128,128,128,0,255,127,3,0,0,BI_VERT,11375417,11375417,0,2829.7001342773438,523.8046875,1312.0,50272.0,0.02609802673456397,8582016.0,1218.8719091415405,546.4873046875,26848.0,39712.0,0.6760676873489122,4476824.0,3411.526114463806,501.1220703125,4864.0,10560.0,0.4606060606060606,4105192.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,128,128,256,0,383,127,3,0,0,BI_VERT,36274728,36274728,0,12492.119386136534,457.739013671875,22688.0,9824.0,2.3094462540716614,7499596.0,18718.612777709957,462.06640625,59360.0,60352.0,0.9835630965005302,3785248.0,6228.173341512679,453.41162109375,31616.0,15008.0,2.1066098081023448,3714348.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,37,416,240,128,128,256,0,383,127,3,0,0,BI_VERT,18693116,18693116,0,12492.119386136534,457.739013671875,22688.0,9824.0,2.3094462540716614,7499596.0,18718.612777709957,462.06640625,59360.0,60352.0,0.9835630965005302,3785248.0,6228.173341512679,453.41162109375,31616.0,15008.0,2.1066098081023448,3714348.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,37,416,240,128,128,0,0,127,127,1,0,0,BI_VERT,13421263,13421263,0,20158.112923562527,466.912353515625,45216.0,47232.0,0.9573170731707316,7649892.0,14370.683965444563,474.35302734375,9984.0,51008.0,0.19573400250941028,3885900.0,25834.814627647404,459.4716796875,30016.0,61760.0,0.4860103626943005,3763992.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,37,416,240,128,128,128,0,255,127,2,0,0,BI_VERT,14182416,14182416,0,2808.160329282284,523.871826171875,608.0,50368.0,0.01207115628970775,8583116.0,1216.1781919002533,546.53173828125,26752.0,39328.0,0.6802278275020341,4477188.0,3373.1992330551147,501.2119140625,3776.0,11040.0,0.3420289855072464,4105928.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,37,416,240,128,128,256,0,383,127,1,0,0,BI_VERT,16205311,16205311,0,12646.608191490172,457.2236328125,20128.0,8288.0,2.4285714285714284,7491152.0,19027.72433066368,460.89501953125,56544.0,58688.0,0.9634678298800436,3775652.0,6238.533891439439,453.55224609375,31968.0,15136.0,2.112050739957717,3715500.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
