videoname,paramQP,frameWidth,frameHeight,CU_width,CU_height,topLeft_x,topLeft_y,bottomRight_x,bottomRight_y,POC,qtdepth,mtdepth,splitType,cost,RDCost,target,variance,mean,gradientH,gradientV,ratioGrad,sum,quarter1Var,quarter1Mean,quarter1GradH,quarter1GradV,quarter1RatioGrad,quarter1Sum,quarter2Var,quarter2Mean,quarter2GradH,quarter2GradV,quarter2RatioGrad,quarter2Sum,quarter3Var,quarter3Mean,quarter3GradH,quarter3GradV,quarter3RatioGrad,quarter3Sum,quarter4Var,quarter4Mean,quarter4GradH,quarter4GradV,quarter4RatioGrad,quarter4Sum
BasketballPass,22,416,240,8,64,304,64,311,127,3,1,2,BI_VERT,3378601,3378601,0,10454.741638183594,516.4765625,24896.0,63936.0,0.3893893893893894,264436.0,15354.0849609375,543.59375,52672.0,64704.0,0.8140454995054401,139160.0,4084.714599609375,489.359375,44416.0,64768.0,0.6857707509881423,125276.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,8,64,312,0,319,63,2,1,2,BI_VERT,1895396,1895396,0,4987.931396484375,486.078125,1248.0,2848.0,0.4382022471910113,248872.0,4901.864990234375,485.203125,61888.0,1600.0,38.68,124212.0,5072.466552734375,486.953125,4576.0,1248.0,3.6666666666666665,124660.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,8,64,312,128,319,191,2,1,2,BI_VERT,1602397,1602397,0,879.5062866210938,443.5390625,4160.0,64096.0,0.06490264603095358,227092.0,772.739990234375,441.203125,928.0,64608.0,0.014363546310054482,112948.0,975.359375,445.875,2176.0,65024.0,0.03346456692913386,114144.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,8,64,312,128,319,191,2,1,2,BI_VERT,740796,740796,0,879.5062866210938,443.5390625,4160.0,64096.0,0.06490264603095358,227092.0,772.739990234375,441.203125,928.0,64608.0,0.014363546310054482,112948.0,975.359375,445.875,2176.0,65024.0,0.03346456692913386,114144.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,37,416,240,8,64,312,128,319,191,2,1,2,BI_VERT,279430,279430,0,879.5062866210938,443.5390625,4160.0,64096.0,0.06490264603095358,227092.0,772.739990234375,441.203125,928.0,64608.0,0.014363546310054482,112948.0,975.359375,445.875,2176.0,65024.0,0.03346456692913386,114144.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,8,64,384,0,391,63,2,1,2,BI_VERT,2154127,2154127,0,12371.994079589844,397.3828125,5920.0,1376.0,4.3023255813953485,203460.0,13826.5,400.5,3744.0,65504.0,0.05715681485100145,102528.0,10898.054443359377,394.265625,3680.0,1408.0,2.613636363636364,100932.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,8,64,384,0,391,63,2,1,2,BI_VERT,987689,987689,0,12371.994079589844,397.3828125,5920.0,1376.0,4.3023255813953485,203460.0,13826.5,400.5,3744.0,65504.0,0.05715681485100145,102528.0,10898.054443359377,394.265625,3680.0,1408.0,2.613636363636364,100932.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,8,64,384,0,391,63,2,1,2,BI_VERT,476517,476517,0,12371.994079589844,397.3828125,5920.0,1376.0,4.3023255813953485,203460.0,13826.5,400.5,3744.0,65504.0,0.05715681485100145,102528.0,10898.054443359377,394.265625,3680.0,1408.0,2.613636363636364,100932.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,37,416,240,8,64,384,0,391,63,2,1,2,BI_VERT,365407,365407,0,12371.994079589844,397.3828125,5920.0,1376.0,4.3023255813953485,203460.0,13826.5,400.5,3744.0,65504.0,0.05715681485100145,102528.0,10898.054443359377,394.265625,3680.0,1408.0,2.613636363636364,100932.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,22,416,240,8,64,384,64,391,127,2,1,2,BI_VERT,1790923,1790923,0,2632.9838256835933,386.9765625,7168.0,96.0,74.66666666666667,198132.0,2474.038818359375,382.765625,3424.0,320.0,10.7,97988.0,2756.46484375,391.1875,2752.0,65312.0,0.042136207741303285,100144.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,27,416,240,8,64,384,64,391,127,2,1,2,BI_VERT,579632,579632,0,2632.9838256835933,386.9765625,7168.0,96.0,74.66666666666667,198132.0,2474.038818359375,382.765625,3424.0,320.0,10.7,97988.0,2756.46484375,391.1875,2752.0,65312.0,0.042136207741303285,100144.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,32,416,240,8,64,384,64,391,127,2,1,2,BI_VERT,321706,321706,0,2632.9838256835933,386.9765625,7168.0,96.0,74.66666666666667,198132.0,2474.038818359375,382.765625,3424.0,320.0,10.7,97988.0,2756.46484375,391.1875,2752.0,65312.0,0.042136207741303285,100144.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
BasketballPass,37,416,240,8,64,384,64,391,127,2,1,2,BI_VERT,239627,239627,0,2632.9838256835933,386.9765625,7168.0,96.0,74.66666666666667,198132.0,2474.038818359375,382.765625,3424.0,320.0,10.7,97988.0,2756.46484375,391.1875,2752.0,65312.0,0.042136207741303285,100144.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
