topLeft_x,topLeft_y,bottomRight_x,bottomRight_y,POC,variance,mean,gradientH,gradientV,ratioGrad,sum,quarter1Var,quarter1Mean,quarter1GradH,quarter1GradV,quarter1RatioGrad,quarter1Sum,quarter2Var,quarter2Mean,quarter2GradH,quarter2GradV,quarter2RatioGrad,quarter2Sum,quarter3Var,quarter3Mean,quarter3GradH,quarter3GradV,quarter3RatioGrad,quarter3Sum,quarter4Var,quarter4Mean,quarter4GradH,quarter4GradV,quarter4RatioGrad,quarter4Sum,videoname,CU_width,CU_height
232.0,64.0,239.0,127.0,3.0,2023.2108764648438,479.4921875,44384.0,64960.0,0.6832512315270935,245500.0,582.345458984375,481.828125,3936.0,65152.0,0.06041257367387033,123348.0,3453.1630859375,477.15625,44768.0,65344.0,0.6851126346718903,122152.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
240.0,64.0,247.0,127.0,3.0,11429.029724121094,484.0390625,9376.0,352.0,26.636363636363637,247828.0,10064.140380859375,481.515625,4832.0,65376.0,0.07391091532060695,123268.0,12781.18359375,486.5625,12448.0,512.0,24.3125,124560.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
248.0,64.0,255.0,127.0,3.0,10831.607177734375,511.546875,62240.0,672.0,92.61904761904762,261912.0,11266.406005859375,513.015625,6368.0,448.0,14.214285714285714,131332.0,10392.493896484375,510.078125,57472.0,224.0,256.57142857142856,130580.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
256.0,64.0,263.0,127.0,3.0,4514.7412109375,485.90625,61376.0,224.0,274.0,248784.0,8481.458740234375,490.203125,2848.0,64.0,44.5,125492.0,511.097412109375,481.609375,60512.0,160.0,378.2,123292.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
264.0,64.0,271.0,127.0,3.0,15014.045349121094,371.0390625,27616.0,53600.0,0.515223880597015,189972.0,6315.4130859375,457.15625,34528.0,60864.0,0.5672975814931651,117032.0,8880.337646484375,284.921875,58400.0,58272.0,1.0021965952773202,72940.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
272.0,64.0,279.0,127.0,3.0,22459.9365234375,358.03125,19040.0,47936.0,0.397196261682243,183312.0,20112.032958984375,343.828125,24576.0,58912.0,0.4171645844649647,88020.0,24404.382568359375,372.234375,52512.0,54560.0,0.9624633431085043,95292.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
280.0,64.0,287.0,127.0,3.0,33861.225036621094,349.5390625,41920.0,38336.0,1.0934891485809684,178964.0,37772.948974609375,371.140625,2944.0,48832.0,0.06028833551769332,95012.0,29016.24609375,327.9375,61664.0,55040.0,1.1203488372093022,83952.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
288.0,64.0,295.0,127.0,3.0,44264.554443359375,440.265625,15840.0,54496.0,0.2906635349383441,225416.0,41524.075927734375,389.453125,19264.0,57792.0,0.3333333333333333,99700.0,41841.212646484375,491.078125,33760.0,62240.0,0.5424164524421594,125716.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
296.0,64.0,303.0,127.0,3.0,28644.8115234375,556.96875,61056.0,288.0,212.0,285168.0,34628.388427734375,564.546875,58560.0,4352.0,13.455882352941176,144524.0,22546.378662109375,549.390625,3424.0,61472.0,0.055700156168662154,140644.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
304.0,64.0,311.0,127.0,3.0,10454.741638183594,516.4765625,24896.0,63936.0,0.3893893893893894,264436.0,15354.0849609375,543.59375,52672.0,64704.0,0.8140454995054401,139160.0,4084.714599609375,489.359375,44416.0,64768.0,0.6857707509881423,125276.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
312.0,64.0,319.0,127.0,3.0,162.47650146484375,472.4921875,2688.0,64032.0,0.041979010494752625,241916.0,109.99609375,470.9375,62400.0,64800.0,0.9629629629629629,120560.0,210.122802734375,474.046875,5472.0,64768.0,0.08448616600790514,121356.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
320.0,64.0,327.0,127.0,3.0,260.18939208984375,471.1171875,61600.0,63936.0,0.9634634634634635,241212.0,260.728271484375,472.578125,62784.0,64608.0,0.9717682020802377,120980.0,255.3818359375,469.65625,64992.0,64864.0,1.0019733596447953,120232.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
328.0,64.0,335.0,127.0,3.0,470.74554443359375,472.7734375,3872.0,64288.0,0.06022896963663514,242060.0,320.9833984375,470.71875,1376.0,64768.0,0.021245059288537548,120504.0,612.064208984375,474.828125,65440.0,65056.0,1.0059026069847516,121556.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
336.0,64.0,343.0,127.0,3.0,255.99163818359375,476.4765625,63904.0,64192.0,0.9955134596211366,243956.0,313.05859375,476.5625,65440.0,64768.0,1.0103754940711462,122000.0,198.909912109375,476.390625,63072.0,64960.0,0.970935960591133,121956.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
344.0,64.0,351.0,127.0,3.0,230.22698974609375,470.9140625,60896.0,64672.0,0.9416130628401781,241108.0,230.984130859375,473.484375,928.0,65184.0,0.014236622484045164,121212.0,216.2568359375,468.34375,60544.0,65024.0,0.9311023622047244,119896.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
352.0,64.0,359.0,127.0,3.0,195.65234375,467.8125,8608.0,288.0,29.88888888888889,239520.0,148.609375,463.875,5056.0,32.0,158.0,118752.0,211.6875,471.75,3168.0,256.0,12.375,120768.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
360.0,64.0,367.0,127.0,3.0,879.624755859375,494.015625,47456.0,3104.0,15.288659793814434,252936.0,757.3896484375,509.21875,20896.0,2176.0,9.602941176470589,130360.0,539.58984375,478.8125,44032.0,928.0,47.44827586206897,122576.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,BasketballPass,8,64
