topLeft_x,topLeft_y,bottomRight_x,bottomRight_y,POC,variance,mean,gradientH,gradientV,ratioGrad,sum,quarter1Var,quarter1Mean,quarter1GradH,quarter1GradV,quarter1RatioGrad,quarter1Sum,quarter2Var,quarter2Mean,quarter2GradH,quarter2GradV,quarter2RatioGrad,quarter2Sum,quarter3Var,quarter3Mean,quarter3GradH,quarter3GradV,quarter3RatioGrad,quarter3Sum,quarter4Var,quarter4Mean,quarter4GradH,quarter4GradV,quarter4RatioGrad,quarter4Sum,videoname,CU_width,CU_height
0.0,0.0,127.0,127.0,0.0,20030.006621301174,465.369384765625,44896.0,45696.0,0.9824929971988795,7624612.0,4191.008528709412,546.3525390625,16288.0,36576.0,0.4453193350831146,2237860.0,29533.17095565796,474.673828125,62784.0,4928.0,12.74025974025974,1944264.0,13472.113669395447,410.1064453125,27904.0,41216.0,0.6770186335403726,1679796.0,21998.170226097107,430.3447265625,21696.0,47200.0,0.45966101694915257,1762692.0,BasketballPass,128,128
128.0,0.0,255.0,127.0,0.0,2811.8817390799522,523.415283203125,576.0,50176.0,0.011479591836734694,8575636.0,1298.7455444335938,549.2734375,45536.0,54112.0,0.8415138971023063,2249824.0,3294.5560913085938,499.8515625,58560.0,7648.0,7.656903765690377,2047392.0,1104.2317876815796,542.9326171875,46688.0,47968.0,0.9733155436957972,2223852.0,3469.420925140381,501.603515625,10144.0,3040.0,3.336842105263158,2054568.0,BasketballPass,128,128
256.0,0.0,383.0,127.0,0.0,12632.261206567287,457.103759765625,20032.0,8480.0,2.362264150943396,7489188.0,11739.852385520935,479.5458984375,63712.0,61728.0,1.0321410057024365,1964220.0,10230.154891967773,453.35546875,16992.0,8768.0,1.937956204379562,1856944.0,25538.122299194336,441.77734375,58784.0,59680.0,0.9849865951742627,1809520.0,2256.977352142334,453.736328125,14592.0,384.0,38.0,1858504.0,BasketballPass,128,128
0.0,0.0,127.0,127.0,1.0,20158.112923562527,466.912353515625,45216.0,47232.0,0.9573170731707317,7649892.0,4318.215704917908,545.4892578125,12544.0,31200.0,0.40205128205128204,2234324.0,29559.830344200134,475.4189453125,448.0,15872.0,0.028225806451612902,1947316.0,14302.42565536499,403.216796875,62976.0,41952.0,1.5011441647597255,1651576.0,21601.168349266052,443.5244140625,29568.0,42304.0,0.6989409984871406,1816676.0,BasketballPass,128,128
128.0,0.0,255.0,127.0,1.0,2800.2688540816307,523.394287109375,736.0,50528.0,0.014566181127295756,8575292.0,1304.1977071762085,549.2568359375,45248.0,54144.0,0.8356973995271868,2249756.0,3286.6727256774902,499.533203125,58112.0,7872.0,7.382113821138211,2046088.0,1108.3903770446777,542.935546875,46784.0,47936.0,0.9759679572763685,2223864.0,3417.6420288085938,501.8515625,10528.0,3040.0,3.463157894736842,2055584.0,BasketballPass,128,128
256.0,0.0,383.0,127.0,1.0,12646.608191490173,457.2236328125,20128.0,8288.0,2.4285714285714284,7491152.0,11679.933895111084,479.861328125,63840.0,62624.0,1.0194174757281553,1965512.0,10222.457365989685,453.2958984375,16800.0,8864.0,1.8953068592057762,1856700.0,25656.073042869568,441.9287109375,58240.0,59040.0,0.986449864498645,1810140.0,2254.478988647461,453.80859375,15168.0,608.0,24.94736842105263,1858800.0,BasketballPass,128,128
0.0,0.0,127.0,127.0,2.0,20124.70853328705,469.6513671875,45184.0,51232.0,0.8819487820112429,7694768.0,4462.266994476318,544.865234375,9472.0,26816.0,0.3532219570405728,2231768.0,29502.204283714294,476.9072265625,3616.0,25344.0,0.14267676767676768,1953412.0,14623.246176719666,399.3876953125,21280.0,40096.0,0.5307262569832403,1635892.0,21115.372009277344,457.4453125,1600.0,41344.0,0.03869969040247678,1873696.0,BasketballPass,128,128
128.0,0.0,255.0,127.0,2.0,2808.160329282284,523.871826171875,608.0,50368.0,0.01207115628970775,8583116.0,1301.1122703552246,549.755859375,45504.0,53728.0,0.8469326980345444,2251800.0,3304.596121788025,499.9033203125,58656.0,7552.0,7.766949152542373,2047604.0,1110.4541997909546,543.3076171875,46784.0,48032.0,0.9740173217854764,2225388.0,3438.3775091171265,502.5205078125,10656.0,3264.0,3.264705882352941,2058324.0,BasketballPass,128,128
256.0,0.0,383.0,127.0,2.0,12555.986858785152,457.927001953125,21664.0,8320.0,2.603846153846154,7502676.0,11619.617842674255,480.6337890625,63808.0,64384.0,0.9910536779324056,1968676.0,10231.914882659912,453.849609375,16640.0,8960.0,1.8571428571428572,1858968.0,25341.55797958374,442.908203125,60064.0,58976.0,1.0184481823114486,1814152.0,2260.032699584961,454.31640625,14624.0,416.0,35.15384615384615,1860880.0,BasketballPass,128,128
0.0,0.0,127.0,127.0,3.0,20230.576961517334,472.236328125,44800.0,59648.0,0.7510729613733905,7737120.0,4644.463225364685,543.7041015625,6272.0,23264.0,0.2696011004126547,2227012.0,29549.881088256836,477.90234375,6976.0,33472.0,0.2084130019120459,1957488.0,14622.311064720154,396.6103515625,38400.0,45920.0,0.8362369337979094,1624516.0,21244.34426498413,470.728515625,59136.0,39040.0,1.5147540983606558,1928104.0,BasketballPass,128,128
